,funds,link,location,title
158,"
$0 raised of $20,000                    ",https://www.gofundme.com/christian-republicans-music-video,"Phoenix, AZ",Christian Republicans ( Music Video )
159,"
$0 raised of $25,000                    ",https://www.gofundme.com/republican-for-congress-2020-tx-9th-district,"Crosby, TX",David Thompson for Congress R-Tx 9th 2020 election
160,"
$0 raised of $400                    ",https://www.gofundme.com/6ncniu0,"Topeka, KS",The Young Republicans Trip
161,"
$0 raised of $800                    ",https://www.gofundme.com/6ncmjao,"Topeka, KS",Young Republicans
162,"
$0 raised of $840.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheSchoolsSecurity,"Washington, DC",Republican Fund to support the Schools Security
163,"
$0 raised of $987.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheGovernmentShutdown,"Washington, DC",Republican Fund to support the Government Shutdown
164,"
$0 raised of $900.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheNRAGunOwners,"Washington, DC",Republican Fundraiser to support NRA Gun Owners
165,"
$0 raised of $982.0M                    ",https://www.gofundme.com/RepublicanFundraiserAgainstTheObamacare,"Washington, DC",Republican Fundraiser against the Obamacare Plans
166,"
$0 raised of $875.0M                    ",https://www.gofundme.com/FundToProtectPresidentTrumpFromCivilLawsuits,"Washington, DC",Fund to protect President Trump from Civil Lawsuit
167,"
$0 raised of $998.0M                    ",https://www.gofundme.com/FundToProtectPresidentTrumpFromIndictment,"Washington, DC",Fund to protect President Trump from Indictment
168,"
$0 raised of $996.0M                    ",https://www.gofundme.com/FundToSupportPresidentTrumpImmigrationPolicy,"Washington, DC",Fund to support President Trump Immigration Policy
169,"
$0 raised of $800.0M                    ",https://www.gofundme.com/FundFor2020RepublicanSenatorialCandidates,"Washington, DC",Fund for 2020 Republican Senatorial Candidates
170,"
$0 raised of $950.0M                    ",https://www.gofundme.com/RepublicanFundraiserToProtectPresidentTrump,"Washington, DC",Fund to protect President Trump from Impeachment
171,"
$0 raised of $980.0M                    ",https://www.gofundme.com/fundfor2020republicancongressionalcandidates,"Washington, DC",Fund for 2020 Republican Congressional Candidates
172,"
$0 raised of $995.0M                    ",https://www.gofundme.com/republicanfundraiserforpresidenttrumpreelection,"Washington, DC",Republican Fund for President Trump Re-Election
173,"
$0 raised of $1.0M                    ",https://www.gofundme.com/the-republican-alternative,"Portland, OR",Write In ADRIAN MCELDERY for PRESIDENT of USA 2020
174,"
$0 raised of $1,000                    ",https://www.gofundme.com/6mwr1ug,"Laingsburg, MI",brokebitch
175,"
$0 raised of $325,000                    ",https://www.gofundme.com/6lz3cg0,"Shelton, WA",WASHINGTON REPUBLICANS
176,"
$0 raised of $15,000                    ",https://www.gofundme.com/black-17-year-old-republican-kicked-out-of-home,"Lewiston, ID",Black 17 year old Republican kicked out of home
177,"
$0 raised of $20,000                    ",https://www.gofundme.com/i-came-out-as-republican,"New Bern, NC",I came out as republican
178,"
$0 raised of $3.0M                    ",https://www.gofundme.com/republicans-for-the-wall,"Hazelwood, MO",Republicans For The Wall
179,"
$0 raised of $10,000                    ",https://www.gofundme.com/kicked-out-for-being-republican,"Lawrenceville, GA",Kicked Out For Being Gay
180,"
$0 raised of $10.0M                    ",https://www.gofundme.com/beat-the-republicans,"Tulare, CA",Beat The Republicans
181,"
$0 raised of $10,000                    ",https://www.gofundme.com/help-a-republican-out,"Gainesville, GA",Help a republican out
182,"
$0 raised of $20,000                    ",https://www.gofundme.com/republican-muslim-american, ,Republican Muslim American
183,"
$0 raised of $20,000                    ",https://www.gofundme.com/if-you-want-me-to-become-a-republican,"Suitland, MD",If you want me to become a Republican
184,"
$0 raised of $10.0M                    ",https://www.gofundme.com/hi-republicans,"Québec, QC",Hi republicans
185,"
£0 raised of £10,000                    ",https://www.gofundme.com/help-a-republican-student-finish-studying, ,Help a republican student finish studying!
186,"
$0 raised of $10,000                    ",https://www.gofundme.com/hispanic-republicans-for-america,"El Paso, TX",Hispanic Republicans for America
187,"
$0 raised of $60,000                    ",https://www.gofundme.com/black-republicans-for-the-wall,"Indianapolis, IN",I just need a new car
188,"
$0 raised of $1.0M                    ",https://www.gofundme.com/prd85-help-build-the-wall,"Bear, DE",Help build the wall
189,"
$0 raised of $20,000                    ",https://www.gofundme.com/urban-minority-republican-league,"Newark, NJ",Urban Minority Republican League
190,"
£0 raised of £1,000                    ",https://www.gofundme.com/national-republican-party-fundraiser,Greater London,National Republican Party Fundraiser
191,"
$0 raised of $20,000                    ",https://www.gofundme.com/fired-for-being-black-republican,"Jacksonville, FL",Fired for being  black republican
192,"
$0 raised of $7,000                    ",https://www.gofundme.com/help-a-young-republican-black-man-go-to-school,"King Of Prussia, PA",Help a Young Republican Black Man Go to School
193,"
$0 raised of $500                    ",https://www.gofundme.com/6vey7-guns,"Orangevale, CA",Democrat vs Republican
194,"
$0 raised of $5,000                    ",https://www.gofundme.com/6f5qnrk,"Universal City, TX",Kicked out for becoming a Republican
195,"
$0 raised of $5,000                    ",https://www.gofundme.com/republican-family,"Atlanta, GA",Republican  family
196,"
$0 raised of $100,000                    ",https://www.gofundme.com/vote-ca-republican,"Pomona, CA",Vote CA Republican
197,"
$0 raised of $1,000                    ",https://www.gofundme.com/republicans-with-no-ride,"Jacksonville, NC",Republicans with no ride
198,"
$0 raised of $1.0M                    ",https://www.gofundme.com/stop-the-rhino-republicans,"Houston, TX",Defeating Trump
199,"
$0 raised of $7,000                    ",https://www.gofundme.com/support-republicans-in-hidalgo-county,"Alamo, TX",Support Our President
200,"
$0 raised of $100,000                    ",https://www.gofundme.com/America-Republican,"Palm Beach, FL",#American #Republican #Twitter
201,"
$0 raised of $5.0M                    ",https://www.gofundme.com/a-year-that-just-wont-stop,"Westerville, OH",Republican told me to leave
202,"
$0 raised of $350,000                    ",https://www.gofundme.com/keep-laura-on-air,"New York, NY",Keep Laura on Air!
203,"
$0 raised of $3,000                    ",https://www.gofundme.com/shs-tars-growth-fund,"Sanger, TX",SHS TARs Growth Fund
204,"
$0 raised of $900,000                    ",https://www.gofundme.com/republican-hip-hop-music,"Spotsylvania, VA",Republican Hip Hop Music
205,"
$0 raised of $50,000                    ",https://www.gofundme.com/republican-app-for-news,"Sanford, NC",Republican  News App
206,"
$0 raised of $50.0M                    ",https://www.gofundme.com/stop-tom-steyer,"Redondo Beach, CA",Stop Tom Steyer
207,"
$0 raised of $1,200                    ",https://www.gofundme.com/paypalmepoolsc8769ymkinh,"Bronx, NY",paypal.me/pools/c/8769YmKinH
208,"
$5,750 raised of $20,000                    ",https://www.gofundme.com/wqwmjwuk,"Leesburg, VA",Chance's Medical & Funeral Expenses
209,"
$200 raised of $400                    ",https://www.gofundme.com/wp4r6m-help-us-bridge-the-gap,"Thompsonville, IL",Help Us Bridge the Gap
210,"
$228,632 raised of $300,000                    ",https://www.gofundme.com/support-anonymous-intelligence-official,"Washington, DC",Help the Intel Community Whistleblowers
211,"
$452,448 raised of $500,000                    ",https://www.gofundme.com/peterstrzok,"Washington, DC",Support for FBI Veteran Pete Strzok
212,"
$488,355 raised of $600,000                    ",https://www.gofundme.com/support-brett-kavanaugh,"Ocean Isle Beach, NC",Brett Kavanaugh's Family
213,"
$11,745 raised of $45,000                    ",https://www.gofundme.com/nm-in-womens-march-on-washington,"Albuquerque, NM",NM in Women's March on Washington
214,"
$117,000 raised of $150,000                    ",https://www.gofundme.com/DonSiegelmanFilm,"Atlanta, GA",Don Siegelman Documentary
215,"
$2,197 raised of $4,750                    ",https://www.gofundme.com/mckinley-document-campaign,"Canton, OH",McKinley Document Campaign
216,"
$39,797 raised of $100,000                    ",https://www.gofundme.com/CoreysTRUTHsecured,"Woodland Hills, CA",Coreys TRUTH campaign SECURED
217,"
$16,665 raised of $25,000                    ",https://www.gofundme.com/theblekicfamily,"Saint Augustine, FL",The Blekic Family
218,"
$485 raised of $405                    ",https://www.gofundme.com/get-bb-to-minnesota,"Sacramento, CA",Get B.B. to Minnesota
219,"
€12,036 raised of €12,026                    ",https://www.gofundme.com/ara-cambridge,"Sankt Annen, SH, Germany",Ara's Cambridge University Tuition
220,"
$33,709 raised of $35,000                    ",https://www.gofundme.com/CleaningGOPMess,"New York, NY",Fighting the Right
221,"
$57,162 raised of $300,000                    ",https://www.gofundme.com/women-support-christine-blasey-ford,"Bainbridge Island, WA",We Believe Her
222,"
$20,835 raised of $110,000                    ",https://www.gofundme.com/vegan-justice-league-lobbying-group,"Tulsa, OK",Vegan Justice League Lobbying Group
223,"
$7,620 raised of $10,000                    ",https://www.gofundme.com/stopthespraying,"Oxford, GA",Stop the Spraying Awareness-Raising
224,"
$38,105 raised of $36,000                    ",https://www.gofundme.com/sutton-strong,"Allison Park, PA",Scott's Cancer Treatment
225,"
$64,689 raised of $85,000                    ",https://www.gofundme.com/everything-trump-touches-dies-film,"Tallahassee, FL",Everything Trump Touches Dies Film
226,"
$13,803 raised of $15,000                    ",https://www.gofundme.com/alt-white-house-easter-egg-2019,"Sykesville, MD",Alt White House Easter Egg 2019
227,"
$210 raised of $10,000                    ",https://www.gofundme.com/welcome-to-gilead-billboards,"Daphne, AL",Welcome to Gilead billboards
228,"
$4,610 raised of $75,000                    ",https://www.gofundme.com/Globalhealthmedicalmission,"Miami, FL",Global Health Medical Mission
229,"
$11,615 raised of $100,000                    ",https://www.gofundme.com/mini-aoc-for-st-jude039s-children039s-hospital,"Lake Forest, CA",Mini AOC for St. Jude's Children's Hospital
230,"
$6,310 raised of $25,000                    ",https://www.gofundme.com/dc-project,"Tulsa, OK",D.C. Project
231,"
$1,510 raised of $2,000                    ",https://www.gofundme.com/4irvc00,"Philadelphia, PA",2nd Annual PYRs Back2School Drive
232,"
$1,362 raised of $1,800                    ",https://www.gofundme.com/women039s-campaign-school-at-yale-tuition,"Arlington, VA",Women's Campaign School at Yale Tuition
233,"
$19,610 raised of $50,000                    ",https://www.gofundme.com/prop-2-won-help-truce-defend-voters-and-patients,"Salt Lake City, UT",Save Utah's voter-approved Prop 2 & voter rights!
234,"
$36,956 raised of $100,000                    ",https://www.gofundme.com/rombachfamily,"Marblehead, MA",Rombach Family Recovery Fund
235,"
$11,977 raised of $100,000                    ",https://www.gofundme.com/savethetappanzee,"Port Chester, NY",Save OUR Tappan Zee
236,"
$12,101 raised of $50,000                    ",https://www.gofundme.com/Trump2020Trumpunitybridgetour,"Livonia, MI",TRUMP 2020  TRUMP UNITY BRIDGE TOUR
237,"
$2,570 raised of $250,000                    ",https://www.gofundme.com/belhaven,"Belhaven, NC","Belhaven, NC Hospital"
238,"
$1,140 raised of $2,500                    ",https://www.gofundme.com/please-help-volunteercontribute-more-efficiently,"Toledo, OH",Please help Andy contribute more efficiently 2019
239,"
$10,385 raised of $15,000                    ",https://www.gofundme.com/ken-kearns-medical-fundraiser,"Lexington, KY",Ken Kearns Medical Fundraiser
240,"
$11,765 raised of $40,000                    ",https://www.gofundme.com/standforcorey,"Brownsburg, IN",Polen Family battles ALS
241,"
$25,550 raised of $50,000                    ",https://www.gofundme.com/2b2twszf,"Alexandria, VA",Mike Flynn Family Fund
242,"
$2,155 raised of $10,000                    ",https://www.gofundme.com/sbalich,"Orland Park, IL",Steve Balich For Will County Board
243,"
$5,152 raised of $51,001                    ",https://www.gofundme.com/buy-back-rob-portman,"Columbus, OH",Buy Back Rob Portman
244,"
$3,485 raised of $2,500                    ",https://www.gofundme.com/baby-trump-slasher,"Northport, AL",Hoyt Hutchinson Baby Trump Slasher
245,"
$13,410 raised of $15,000                    ",https://www.gofundme.com/makala039s-fight,"Breinigsville, PA",Makala's Fight
246,"
$3,000 raised of $3,000                    ",https://www.gofundme.com/christmas-blessings-shared,"Waukegan, IL",Christmas Blessings Shared
247,"
€3,245 raised of €3,000                    ",https://www.gofundme.com/muromachi-period-samurai-armour,"Palermo, SC, Italy",Armor up! Samurai/Roman/Crusader
248,"
$15,501 raised of $15,000                    ",https://www.gofundme.com/protectourchildrenegg2017,"Sykesville, MD",Protect Our Children Easter Egg
249,"
$30,000 raised of $30,000                    ",https://www.gofundme.com/TheSociopath,"Charlotte, NC",The Sociopath
250,"
$4,861 raised of $1.0B                    ",https://www.gofundme.com/save-ct-from-the-government,"Milford, CT",Gov's Gotta Go!
251,"
$6,000 raised of $12,000                    ",https://www.gofundme.com/terencemckennaarchives,"Goleta, CA",The Terence McKenna Archives
252,"
$11,133 raised of $68,000                    ",https://www.gofundme.com/helpthevancefamilykeeptheirhome,"Tulsa, OK",Help Vance Family keep their home
253,"
$5,755 raised of $5,500                    ",https://www.gofundme.com/RNCGatheringEpic,"Marietta, GA",Nathan's Gathering & RNC adventure!
254,"
$15,750 raised of $10,000                    ",https://www.gofundme.com/unseal-the-deals,"Mission Viejo, CA",Unseal the Deals!
255,"
$47,771 raised of $50,000                    ",https://www.gofundme.com/lastchancestoptrump,"Washington, DC",DEFEND DEMOCRACY. STOP TRUMP.
256,"
$6,060 raised of $10,000                    ",https://www.gofundme.com/2cn8pmk,"Castle Rock, CO",#VoteYourConscience
257,"
$15,828 raised of $15,000                    ",https://www.gofundme.com/altWhiteHouseEasteregg,"Sykesville, MD",Alt White House Easter Egg 2018
258,"
$10,840 raised of $16,000                    ",https://www.gofundme.com/montana-together,"Belgrade, MT",Montana Together
259,"
$10,340 raised of $45,000                    ",https://www.gofundme.com/build-45,"San Juan, PR",Build 45!
260,"
$3,911 raised of $4,000                    ",https://www.gofundme.com/def-con-26-election-security,"Brooklyn, NY",DEF CON 26 - Election Security
261,"
$5,666 raised of $5,000                    ",https://www.gofundme.com/45qg9cw,"Somerset, MA",Tucker Keene Memorial Fund
262,"
$30,906 raised of $100,000                    ",https://www.gofundme.com/1812Homestead,"Willsboro, NY",1812 Homestead Fundraiser
263,"
$14,088 raised of $20,000                    ",https://www.gofundme.com/robcressen,"Shrewsbury, NJ",Support for Rob Cressen
264,"
$1,630 raised of $2,500                    ",https://www.gofundme.com/build-the-wall-10-feet-higher,"Moscow, ID",Build The Wall: 10 Feet Higher
265,"
$3,395 raised of $5,500                    ",https://www.gofundme.com/red-state-postcard-project,"Brooklyn, NY",Six Degrees of Resistance POSTCARDS
266,"
$3,449 raised of $10,000                    ",https://www.gofundme.com/rest-in-peace-parmjit-singh,"Tracy, CA",Rest in Peace Parmjit Singh
267,"
$1,658 raised of $12,000                    ",https://www.gofundme.com/6sjan7-more-than-enough,"Boynton Beach, FL",MORE THAN ENOUGH!!!!
268,"
$3,145 raised of $3,000                    ",https://www.gofundme.com/couragecampaign,"Sunnyside, NY",Call for Courage
269,"
$2,540 raised of $3,000                    ",https://www.gofundme.com/block-bronx-bolshevik,"Bronx, NY",Block Bronx Bolshevik
270,"
$435 raised of $250.0M                    ",https://www.gofundme.com/heathcare-for-devin-nunes039-cow,"Woodacre, CA",COW-mprehensive Heath Care for Devin Nunes' Cow
271,"
€553 raised of €2,500                    ",https://www.gofundme.com/IFP-Wexford-By-Election-Campaign, ,Irish-Freedom-Party-Wexford-By-Election-Campaign
272,"
$1,941 raised of $200,000                    ",https://www.gofundme.com/support-joe-arpaio-in-nyt-lawsuit,"Beverly Hills, CA",SUPPORT ARPAIO NY TIMES TAKEDOWN!
273,"
$2,230 raised of $3,900                    ",https://www.gofundme.com/ErikJill2016,"Chico, CA",Jill2016 Volunteer Coordinator CA
274,"
$2,592 raised of $10,000                    ",https://www.gofundme.com/stand-up-to-trump,"Woodland Hills, CA",Help Stand Up to Donald Trump
275,"
$8,475 raised of $12,000                    ",https://www.gofundme.com/khalilkirkland,"Jacksonville, NC",JUSTICE Khalil & Carl Families
276,"
$5,159 raised of $13,000                    ",https://www.gofundme.com/we-go-high,"Hamilton, NY",We Go High
277,"
$2,840 raised of $10,000                    ",https://www.gofundme.com/dellaquila-family-memorialsupport-fund,"Runnemede, NJ",Dellaquila Family Memorial/Support Fund
278,"
$1,310 raised of $10,000                    ",https://www.gofundme.com/dana-jill-simpson,"Rainsville, AL",Dana Jill Simpson
279,"
$560 raised of $2,020                    ",https://www.gofundme.com/support-pres-trump-maga-rally-in-st-george,"Saint George, UT",Support Pres. Trump MAGA Rally in St. George!
280,"
$2,000 raised of $2,000                    ",https://www.gofundme.com/ArkansasBerniecrat,"Batesville, AR",Help Send Ark Berniecrat to the DNC
281,"
$6,902 raised of $6,000                    ",https://www.gofundme.com/meyers-for-us-senate,"Saint George, UT",Meyers for US Senate
282,"
$1,564 raised of $2,500                    ",https://www.gofundme.com/hangers-for-humanity,"New York, NY",Hangers for Humanity
283,"
$2,925 raised of $5,000                    ",https://www.gofundme.com/over-the-border-under-the-bridge,"Glenshaw, PA","Over the Border, Under the Bridge"
284,"
$10,560 raised of $10,000                    ",https://www.gofundme.com/marchfortruthchi,"Chicago, IL",March for Truth Chicago
285,"
$3,046 raised of $10,000                    ",https://www.gofundme.com/a-grassroots-superpac,"South Burlington, VT",A Grassroots SuperPAC
286,"
$2,500 raised of $2,500                    ",https://www.gofundme.com/2a97gqs,"Shawnee, KS",Sarah Parrish Bernie Delegate
287,"
$2,835 raised of $4,000                    ",https://www.gofundme.com/not-one-more-generation,"Powhatan, VA",Not One More GenERAtion
288,"
$810 raised of $75,000                    ",https://www.gofundme.com/create-the-democrat-dossier,"Lakehead, CA",Create The Democrat Dossier
289,"
$1,310 raised of $14,000                    ",https://www.gofundme.com/artyom-kosyan-UChicago-tuition, ,University of Chicago | Tuition
290,"
$6,390 raised of $6,500                    ",https://www.gofundme.com/2azb8mk,"Cleveland, OH",Comixcast from the RNC in Cleveland
291,"
$2,631 raised of $4,150                    ",https://www.gofundme.com/john-parker-socialist-4-us-senate,"Los Angeles, CA",Socialist John Parker 4 U.S. Senate
292,"
$3,418 raised of $4,250                    ",https://www.gofundme.com/jrmarjefferson,"Elk Grove, CA",Leave No Delegate Behind.
293,"
$2,050 raised of $2,050                    ",https://www.gofundme.com/dreamers-to-dc,"Saint Paul, MN",Dreamers to D.C.
294,"
$3,842 raised of $5,000                    ",https://www.gofundme.com/inauguration2,"New York, NY",Inauguration Week 2017
295,"
$4,115 raised of $100,000                    ",https://www.gofundme.com/ShowMeTheVotes,"Wichita, KS",Show Me The Votes - Beth Clarkson
296,"
$2,750 raised of $2,800                    ",https://www.gofundme.com/marcperez4tedcruz,"Puyallup, WA",RNC Convention 4 Cruz by Marc Perez
297,"
$3,720 raised of $3,400                    ",https://www.gofundme.com/fund-milo-at-unm,"Albuquerque, NM",Fund MILO at UNM
298,"
$1,793 raised of $500,000                    ",https://www.gofundme.com/political-awareness-of-bernie-sanders,"Bronx, NY",Political Awareness of Bernie Sanders
299,"
$2,815 raised of $4,000                    ",https://www.gofundme.com/winning-the-midterms,"Damariscotta, ME",Winning the midterms
300,"
$390 raised of $320                    ",https://www.gofundme.com/send-ron-joseph-to-3day-leadership-training,"Philadelphia, PA",Send Ron Joseph to 3-Day Leadership Training
301,"
$10,576 raised of $10,000                    ",https://www.gofundme.com/families-belong-together-washington,"Seattle, WA",Families Belong Together WASHINGTON
302,"
$1,630 raised of $5,000                    ",https://www.gofundme.com/relocating-to-resist-fund,"Austin, TX",Relocating to #Resist Fund
303,"
$4,835 raised of $100,000                    ",https://www.gofundme.com/laryngeal-cancer-requires-surgery,"Cartersville, GA",Laryngeal Cancer requires Surgery !
304,"
$3,200 raised of $3,190                    ",https://www.gofundme.com/zs2a4cp4,"Chicago, IL","unemployed, job hunting, need  help"
305,"
$4,580 raised of $10,000                    ",https://www.gofundme.com/funny-ha-ha,"Brooklyn, NY",Let's Make a Memoir!
306,"
$4,668 raised of $30,000                    ",https://www.gofundme.com/politicsanotherperspective,"Silver Spring, MD",Politics Another Perspective
307,"
$4,305 raised of $4,000                    ",https://www.gofundme.com/kids-politics-dont-mix,"Portland, OR",Kids & Politics don't mix
308,"
$5,319 raised of $300,000                    ",https://www.gofundme.com/troen-for-congress-2020-florida-district-10,"Ocoee, FL",Troen for Congress 2020 Florida District 10
309,"
$1,970 raised of $3,600                    ",https://www.gofundme.com/dashboard-268ehvng,"Stanwood, WA","Elected as Cruz Delegate, WA State"
310,"
$10,678 raised of $150,000                    ",https://www.gofundme.com/save-the-soap-let039s-help-buy-that-building-back,"Minneapolis, MN",SAVE THE SOAP! Let's help buy that building back.
311,"
$2,500 raised of $2,500                    ",https://www.gofundme.com/25m2mc84,"Anacortes, WA",Tim's Journey to the DNCC
312,"
$2,443 raised of $4,000                    ",https://www.gofundme.com/4evwtr-drain-the-swamp,"Whitehouse Station, NJ",Drain The Swamp
313,"
$1,725 raised of $5,000                    ",https://www.gofundme.com/steventocleveland,"Albuquerque, NM",Time To Take a Stand in Cleveland !
314,"
$600 raised of $600                    ",https://www.gofundme.com/send-reid-publishing-to-the-state-convention,"Tulsa, OK",Send Remnant Rising to State Convention
315,"
$1,470 raised of $15,000                    ",https://www.gofundme.com/the-revolution-televised-2-documentary,"Diamond Bar, CA",The Revolution Televised  2 Documentary
316,"
$6,127 raised of $15,000                    ",https://www.gofundme.com/secret-guerrilla-theater-fun,"Los Angeles, CA",Secret Guerrilla Theater Fun
317,"
$15,157 raised of $20,000                    ",https://www.gofundme.com/dont-forget-to-tip-your-cow,"Los Angeles, CA",Don’t Forget To Tip Your Cow
318,"
$1,005 raised of $2,804                    ",https://www.gofundme.com/help-everyone-vote,"Philadelphia, PA",Help Everyone Vote
319,"
$8,118 raised of $10,000                    ",https://www.gofundme.com/WashingtonBabylon,"Washington, DC",WashingtonBabylon.com
320,"
$5,195 raised of $10,000                    ",https://www.gofundme.com/BobVTN4G,"Waterbury, CT",Bob Veillette: #TakeNothing4Granted
321,"
$4,071 raised of $25,000                    ",https://www.gofundme.com/eapen-thampy-legal-defense-fund,"Kansas City, MO",Eapen Thampy Legal Defense Fund
322,"
$3,190 raised of $3,000                    ",https://www.gofundme.com/mary-jane-irwin-o039donovan-rossa-doc,"Brooklyn, NY",MARY JANE IRWIN O'DONOVAN ROSSA DOC
323,"
$1,600 raised of $30,000                    ",https://www.gofundme.com/fred-gattuso-for-mayor-fund,"Carteret, NJ",Fred Gattuso for Mayor
324,"
$4,174 raised of $5,000                    ",https://www.gofundme.com/v8gumh78,"Dallas, TX",Joshua Rojas accident fund
325,"
$10,195 raised of $20,000                    ",https://www.gofundme.com/tom-sirard-memorial-fund,"Enfield, CT",For the Family of Tom Sirard
326,"
$12,938 raised of $35,000                    ",https://www.gofundme.com/help-sandra-meyer-with-medical-expenses-for-dan,"Loveland, CO",Help Sandra Meyer with medical expenses for Dan.
327,"
$2,570 raised of $3,900                    ",https://www.gofundme.com/2d6mvn7w,"Milwaukee, WI",New Book on Gay Men & Their Fathers
328,"
$3,202 raised of $4,430                    ",https://www.gofundme.com/invest-in-your-democracy,"Haydenville, MA",Save Our Democracy!
329,"
$1,775 raised of $1,500                    ",https://www.gofundme.com/4b-march-on-washington-hope-college,"Zeeland, MI","March on Washington, Hope College"
330,"
$3,961 raised of $4,500                    ",https://www.gofundme.com/restore-felon-voting-rights-in-fl,"Louisa, VA",Restore Felon Voting Rights in FL
331,"
$1,802 raised of $50,000                    ",https://www.gofundme.com/BuyBackOurSenator,"Aurora, CO",Buy CO Senator Cory Gardner's vote!
332,"
$85 raised of $5,000                    ",https://www.gofundme.com/20doug20,"Columbus, GA",20DOUG20
333,"
$7,768 raised of $20,000                    ",https://www.gofundme.com/Refugeeisnotmyname,"Malibu, CA","Refugee Is Not My Name, Documentary"
334,"
$13,580 raised of $20,000                    ",https://www.gofundme.com/ConstructingOurFuture,"Indianapolis, IN",Constructing Our Future
335,"
$8,589 raised of $25,000                    ",https://www.gofundme.com/future-of-gun-safety-david,"Houston, TX",Future of Gun Safety - David's College Fund
336,"
$3,932 raised of $10,000                    ",https://www.gofundme.com/Searching-for-Occupy,"Austin, TX",Searching for Occupy
337,"
$710 raised of $5,000                    ",https://www.gofundme.com/precedent-pilot-project,"Woodland Hills, CA",PRECEDENT PILOT PROJECT
338,"
$1,654 raised of $1,634                    ",https://www.gofundme.com/updegrove,"Duluth, MN",Gov't Teacher and Bernie Delegate
339,"
$1,950 raised of $2,600                    ",https://www.gofundme.com/antifafestus,"Miami, FL",Antifascist Festival in the U.S.
340,"
£1,670 raised of £2,000                    ",https://www.gofundme.com/27z22ydg, ,Tams Repatriation
341,"
$1,046 raised of $1,000                    ",https://www.gofundme.com/hu-cs-kickback,"Washington, DC",HU CS Kickback
342,"
$3,551 raised of $5,000                    ",https://www.gofundme.com/stroke-has-left-me-in-need-of-your-help,"Los Angeles, CA",Stroke has left me in need of your help
343,"
$2,145 raised of $2,000                    ",https://www.gofundme.com/aaronflipstexas,"Oakland, CA",Turn Texas Blue
344,"
$5,676 raised of $10,000                    ",https://www.gofundme.com/rugged-run-to-battle-opioid-overdose,"Springfield, MA",Rugged Recovery Run To Battle Opioid Overdose
345,"
$2,563 raised of $3,000                    ",https://www.gofundme.com/6w8z5g-support-third-party-ballot-access,"San Francisco, CA",Support Third Party Ballot Access!
346,"
$8,015 raised of $6,000                    ",https://www.gofundme.com/chris039-ugandan-human-rights-mission,"Whitman, MA",Chris’ Ugandan Human Rights Mission
347,"
$2,020 raised of $3,503                    ",https://www.gofundme.com/kellycampaignschool,"Round Rock, TX",Kelly Darby Campaign School
348,"
$2,452 raised of $5,000                    ",https://www.gofundme.com/swingleft-chicago,"Chicago, IL",Swing Left Chicago
349,"
$4,115 raised of $7,500                    ",https://www.gofundme.com/REST-in-Philly,"Philadelphia, PA",REST in Philly
350,"
$1,820 raised of $30,000                    ",https://www.gofundme.com/save-alex039s-life,"Jacksonville, FL",Save Alex's life
351,"
$100 raised of $150                    ",https://www.gofundme.com/tomb-of-the-unknown-soldier-wreath,"Benson, NC",Tomb of the Unknown Soldier Wreath
352,"
$2,376 raised of $1,500                    ",https://www.gofundme.com/simon8,"Pittsburgh, PA",Simon's birthday fundraiser: 412FR
353,"
$9,777 raised of $15,000                    ",https://www.gofundme.com/johnpfeilseason,"New York, NY",#JohnPfeilSeason
354,"
$1,445 raised of $25,000                    ",https://www.gofundme.com/4ex5k-troy-worden-legal-defense-fund,"Berkeley, CA",Troy Worden Legal Defense Fund
355,"
$1,535 raised of $50,000                    ",https://www.gofundme.com/helpjoemessina,"Santa Clarita, CA",Joe's Legal Defense Fund
356,"
$3,610 raised of $3,000                    ",https://www.gofundme.com/29ssj5g,"Burbank, CA",So Cal Phoenix Project Pro 2A Rally
357,"
$5,967 raised of $50,000                    ",https://www.gofundme.com/2jkyjjw,"Waukesha, WI",Helping Pastor Joe #RIPREVJAM
358,"
$3,480 raised of $25,200                    ",https://www.gofundme.com/kickasspolitics,"Pasadena, CA",KickAss Politics podcast
359,"
$5,173 raised of $5,000                    ",https://www.gofundme.com/river-swim-to-rage-against-cancer,"Minneapolis, MN",River Swim for Cancer Research
360,"
$2,610 raised of $2,500                    ",https://www.gofundme.com/jvxbp3qs,"Katy, TX",Fishie for National Delegate
361,"
$7,441 raised of $15,000                    ",https://www.gofundme.com/a93tk8,"New York, NY",Medical Expenses for Jane
362,"
$10,975 raised of $8,375                    ",https://www.gofundme.com/2bmsphpw,"Littleton, CO",Keep A Disabled Vet In His Home
363,"
$2,485 raised of $4,000                    ",https://www.gofundme.com/yvonnedeanbailey,"Northwood, NH",Yvonne Dean-Bailey for State Rep
364,"
$6,533 raised of $5,000                    ",https://www.gofundme.com/11jcn8,"Berkeley, CA",send Mindful Leaders to RNC & DNC
365,"
$3,000 raised of $3,000                    ",https://www.gofundme.com/GetJeffToCleveland,"Portland, OR",Get me to the convention!
366,"
$2,635 raised of $10,000                    ",https://www.gofundme.com/charlotte-uprising-documentary-2vq7cs4,"Charlotte, NC",Charlotte UprisingDocumentary
367,"
$2,386 raised of $55.0M                    ",https://www.gofundme.com/FixFlintsWater,"Savannah, GA",We The People Will Fix The Flint Water Crisis
