race,2014,2015,2016,2017,2018
American Indian/Alaska Native,78.0,89.0,70.0,64.0,78.0
Asian,3888.0,3917.0,3723.0,3802.0,3769.0
Black/African American,1277.0,1385.0,1335.0,1335.0,1438.0
Hispanic_ Latino_/of Spanish Origin,1030.0,1054.0,1105.0,1133.0,1168.0
Native Hawaiian/Other Pacific Islander,14.0,16.0,13.0,24.0,21.0
White,4157.0,4233.0,4135.0,4291.0,4612.0
Other Race/Ethnicity,534.0,567.0,493.0,473.0,522.0
Unknown Race/Ethnicity,903.0,620.0,735.0,761.0,681.0
Total,11881.0,11881.0,11609.0,11883.0,12289.0
