"",ERAS 2014,ERAS 2015,ERAS 2016,ERAS 2017,ERAS 2018,ERAS 2014,ERAS 2015,ERAS 2016,ERAS 2017,ERAS 2018
American Indian or Alaska Native,22,32,28,31,31,3.4,4.5,5.8,7.5,5.2
Asian,"1,725","1,704","1,572","1,572","1,640",317.6,358.9,369.2,370.7,344.5
Black or African American,559,538,484,525,555,65.4,65.8,66.8,80.0,69.6
"Hispanic, Latino, or of SpanishOrigin",313,342,392,371,437,40.7,50.3,63.0,67.3,76.8
"Native Hawaiian or Other PacificIslander",5,4,3,7,10,1.3,1.1,1.2,2.0,2.5
White,"1,464","1,568","1,553","1,586","1,752",199.1,236.7,268.2,311.7,313.2
Other Race/Ethnicity,224,243,216,171,217,40.8,43.3,50.5,34.9,40.1
Unknown Race/Ethnicity,392,287,372,336,308,60.7,49.5,0.0,0.0,0.0
